"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","9420","register Auto Test","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6616","register Auto Test 6","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","15417","order Auto Test 5","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","5023","search Auto Test 5","","2026-05-10","passed","2026-05-10","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","6994","search Auto Test 3","","2026-05-10","passed","2026-05-10","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8757","register Auto Test 7","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","10756","order Auto Test 5","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","12048","order Auto Test 2","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","10677","login Auto Test 5","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","14875","order Auto Test 1","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","15570","order Auto Test 2","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","6902","search Auto Test 1","","2026-05-10","passed","2026-05-10","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","6481","register Auto Test 3","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6824","search Auto Test 2","","2026-05-10","passed","2026-05-10","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","6376","register Auto Test 2","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","18581","order Auto Test 1","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"AI generated E2E","34670","E2E login_search_order_20260514_124712","","2026-05-14","passed","2026-05-14","","Login Search Order 20260514 124712","",""
"Auto generated from AI flow","15701","order Auto Test 4","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","26252","order Auto Test","","2026-05-15","failed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","7177","search Auto Test 4","","2026-05-10","passed","2026-05-10","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8259","login Auto Test 1","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","6323","register Auto Test 5","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","8256","login Auto Test 2","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","6508","register Auto Test 4","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","8575","login Auto Test 4","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","21460","order Auto Test 4","","2026-05-10","failed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","8424","login Auto Test 3","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","26342","order Auto Test 3","","2026-05-15","failed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","11690","order Auto Test 3","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
