"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","7541","search Auto Test 4","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","13465","order Auto Test 2","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","13910","order Auto Test 1","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","13387","order Auto Test 6","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","7422","search Auto Test 2","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","16791","login Auto Test 1","","2026-05-06","failed","2026-05-06","","Login Auto","",""
"Auto generated from AI flow","7302","login Auto Test 2","","2026-05-06","passed","2026-05-06","","Login Auto","",""
"Auto generated from AI flow","13336","order Auto Test 4","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","13463","order Auto Test 3","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","7678","search Auto Test 3","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","6531","login Auto Test 3","","2026-05-06","passed","2026-05-06","","Login Auto","",""
"Auto generated from AI flow","13322","order Auto Test 5","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","5049","search Auto Test 5","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","7618","search Auto Test 1","","2026-05-09","passed","2026-05-09","","Search Auto","",""
