"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","10942","login Auto Test 1","","2026-05-18","passed","2026-05-18","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","16716","order Auto Test 2","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"AI generated E2E","34670","E2E login_search_order_20260514_124712","","2026-05-14","passed","2026-05-14","","Login Search Order 20260514 124712","",""
"Auto generated from AI flow","10059","register Auto Test 7","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","10314","register Auto Test 1","","2026-05-18","passed","2026-05-18","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","14875","order Auto Test 1","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","22119","order Auto Test 1","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","21460","order Auto Test 4","","2026-05-10","failed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","12048","order Auto Test 2","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","16460","order Auto Test 4","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","12045","login Auto Test 2","","2026-05-18","passed","2026-05-18","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","5529","search Auto Test 5","","2026-05-18","passed","2026-05-18","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","10756","order Auto Test 5","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","8877","register Auto Test 4","","2026-05-18","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","13885","register Auto Test 3","","2026-05-18","failed","2026-05-18","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","11739","login Auto Test 3","","2026-05-18","passed","2026-05-18","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","7452","search Auto Test 2","","2026-05-18","passed","2026-05-18","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","10586","register Auto Test 9","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","7546","search Auto Test 4","","2026-05-18","passed","2026-05-18","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","15906","order Auto Test 5","","2026-05-15","passed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","11680","register Auto Test 2","","2026-05-18","passed","2026-05-18","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","26333","order Auto Test 3","","2026-05-15","failed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","9986","register Auto Test 6","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","9420","register Auto Test","","2026-05-10","passed","2026-05-10","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","12054","search Auto Test 1","","2026-05-18","passed","2026-05-18","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","7524","search Auto Test 3","","2026-05-18","passed","2026-05-18","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","11162","login Auto Test 4","","2026-05-18","passed","2026-05-18","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","8452","search Auto Test 6","","2026-05-18","passed","2026-05-18","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","26252","order Auto Test","","2026-05-15","failed","2026-05-15","","Order Auto 20260515 150607","",""
"Auto generated from AI flow","10553","register Auto Test 5","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","14074","login Auto Test 5","","2026-05-18","passed","2026-05-18","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","9702","register Auto Test 8","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","11690","order Auto Test 3","","2026-05-10","passed","2026-05-10","","Order Auto 20260510 214603","",""
"Auto generated from AI flow","10590","register Auto Test 10","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
