"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","11445","order Auto Test 5","","2026-05-09","passed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","23594","order Auto Test 4","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","20524","order Auto Test 1","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","7541","search Auto Test 4","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","5049","search Auto Test 5","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","16791","login Auto Test 1","","2026-05-06","failed","2026-05-06","","Login Auto","",""
"Auto generated from AI flow","13625","order Auto Test 2","","2026-05-09","passed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","7678","search Auto Test 3","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","7302","login Auto Test 2","","2026-05-06","passed","2026-05-06","","Login Auto","",""
"Auto generated from AI flow","7618","search Auto Test 1","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","11947","order Auto Test 3","","2026-05-09","passed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","22105","order Auto Test 6","","2026-05-09","failed","2026-05-09","","Order Auto","",""
"Auto generated from AI flow","7422","search Auto Test 2","","2026-05-09","passed","2026-05-09","","Search Auto","",""
"Auto generated from AI flow","6531","login Auto Test 3","","2026-05-06","passed","2026-05-06","","Login Auto","",""
