"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","6695","register Auto Test 6","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","7281","register Auto Test 2","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6675","register Auto Test 10","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6075","register Auto Test 8","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6448","register Auto Test 4","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6514","register Auto Test 7","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6960","register Auto Test 1","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6404","register Auto Test 5","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","6397","register Auto Test 9","","2026-05-19","passed","2026-05-19","","Register Auto 20260510 162840","",""
"Auto generated from AI flow","10623","register Auto Test 3","","2026-05-19","failed","2026-05-19","","Register Auto 20260510 162840","",""
